Date, na,Open,High,Low,Close,Volume
2015.04.30,00:00,0.94026,0.94460,0.93075,0.93346,43443
2015.05.01,00:00,0.93350,0.93513,0.92763,0.93242,27397
2015.05.03,00:00,0.93299,0.93376,0.93237,0.93336,2464
2015.05.04,00:00,0.93334,0.93834,0.93126,0.93365,30498
2015.05.05,00:00,0.93363,0.94121,0.92379,0.92746,39684
2015.05.06,00:00,0.92747,0.92794,0.91134,0.91644,29351
2015.05.07,00:00,0.91647,0.92280,0.90712,0.92166,35595
2015.05.08,00:00,0.92168,0.93227,0.92002,0.93106,35241
2015.05.10,00:00,0.93143,0.93185,0.93091,0.93154,2517
2015.05.11,00:00,0.93155,0.93540,0.92961,0.93450,36163
2015.05.12,00:00,0.93450,0.93575,0.92108,0.92837,40645
2015.05.13,00:00,0.92836,0.92931,0.91532,0.91704,43693
2015.05.14,00:00,0.91704,0.91763,0.90782,0.91248,42186
2015.05.15,00:00,0.91248,0.92546,0.91141,0.91535,39111
2015.05.17,00:00,0.91548,0.91664,0.91478,0.91537,1058
2015.05.18,00:00,0.91537,0.92628,0.91534,0.92606,35198
2015.05.19,00:00,0.92607,0.93829,0.92452,0.93718,37418
2015.05.20,00:00,0.93717,0.94048,0.93364,0.93614,29981
2015.05.21,00:00,0.93610,0.93817,0.93053,0.93769,41159
2015.05.22,00:00,0.93757,0.94558,0.92860,0.94247,35840
2015.05.24,00:00,0.94274,0.94503,0.94259,0.94325,3228
2015.05.25,00:00,0.94326,0.94576,0.94042,0.94571,23666
2015.05.26,00:00,0.94573,0.95377,0.94552,0.95180,43906
2015.05.27,00:00,0.95180,0.95419,0.94662,0.94980,35733
2015.05.28,00:00,0.94981,0.95116,0.94170,0.94287,24861
2015.05.29,00:00,0.94281,0.94780,0.93481,0.93993,39794
2015.05.31,00:00,0.94002,0.94148,0.93859,0.94138,908
2015.06.01,00:00,0.94140,0.94828,0.94041,0.94599,40420
2015.06.02,00:00,0.94598,0.94600,0.93069,0.93339,42153
2015.06.03,00:00,0.93344,0.94214,0.93020,0.93446,43260
2015.06.04,00:00,0.93447,0.93702,0.92772,0.93489,51968
2015.06.05,00:00,0.93489,0.95012,0.92971,0.93890,70392
2015.06.07,00:00,0.94119,0.94156,0.93987,0.94064,1857
2015.06.08,00:00,0.94063,0.94288,0.92551,0.92738,42490
2015.06.09,00:00,0.92737,0.93315,0.92459,0.93035,45372
2015.06.10,00:00,0.93034,0.93243,0.92330,0.93207,45169
2015.06.11,00:00,0.93212,0.94053,0.92980,0.93380,39530
2015.06.12,00:00,0.93381,0.93894,0.92410,0.92810,39082
2015.06.14,00:00,0.92899,0.93003,0.92871,0.92945,1509
2015.06.15,00:00,0.92952,0.93821,0.92737,0.92981,36458
2015.06.16,00:00,0.92982,0.93342,0.92710,0.93168,26685
2015.06.17,00:00,0.93169,0.93218,0.91962,0.92106,39196
2015.06.18,00:00,0.92102,0.92437,0.91501,0.92135,30789
2015.06.19,00:00,0.92134,0.92488,0.91621,0.91732,30770
2015.06.21,00:00,0.91644,0.91844,0.91604,0.91843,1454
2015.06.22,00:00,0.91845,0.92247,0.91569,0.92169,35840
2015.06.23,00:00,0.92167,0.93868,0.92127,0.93344,25086
2015.06.24,00:00,0.93345,0.93691,0.92819,0.93355,23733
2015.06.25,00:00,0.93354,0.94149,0.93244,0.93649,33993
2015.06.26,00:00,0.93650,0.93732,0.92989,0.93258,29396
2015.06.28,00:00,0.93815,0.94149,0.93669,0.94030,5100
2015.06.29,00:00,0.94021,0.94249,0.92434,0.92589,43725
2015.06.30,00:00,0.92590,0.93806,0.92558,0.93477,43420
2015.07.01,00:00,0.93492,0.94890,0.93414,0.94865,24145
2015.07.02,00:00,0.94874,0.95029,0.94182,0.94356,49106
2015.07.03,00:00,0.94355,0.94406,0.93948,0.93991,29487
2015.07.05,00:00,0.94325,0.94465,0.94171,0.94429,3515
2015.07.06,00:00,0.94430,0.94710,0.94081,0.94298,52805
2015.07.07,00:00,0.94299,0.95149,0.94262,0.94659,66163
2015.07.08,00:00,0.94660,0.95087,0.94080,0.94564,85841
2015.07.09,00:00,0.94564,0.95145,0.94242,0.94767,86325
2015.07.10,00:00,0.94770,0.94783,0.93291,0.93785,86329
2015.07.12,00:00,0.94117,0.94133,0.93782,0.94008,3236
2015.07.13,00:00,0.94008,0.95088,0.93664,0.95071,80192
2015.07.14,00:00,0.95072,0.95315,0.93972,0.94490,83286
2015.07.15,00:00,0.94490,0.95473,0.94456,0.95275,78730
2015.07.16,00:00,0.95274,0.95832,0.95222,0.95723,72958
2015.07.17,00:00,0.95726,0.96182,0.95566,0.96108,44543
2015.07.19,00:00,0.96085,0.96258,0.96035,0.96237,1672
2015.07.20,00:00,0.96241,0.96485,0.95996,0.96346,44914
2015.07.21,00:00,0.96345,0.96481,0.95592,0.95801,55429
2015.07.22,00:00,0.95801,0.96314,0.95603,0.95978,48014
2015.07.23,00:00,0.95978,0.96019,0.95248,0.95937,62889
2015.07.24,00:00,0.95938,0.96350,0.95732,0.96199,42872
2015.07.26,00:00,0.96200,0.96306,0.96170,0.96257,976
2015.07.27,00:00,0.96257,0.96325,0.95295,0.96212,69003
2015.07.28,00:00,0.96213,0.96734,0.96038,0.96154,59077
2015.07.29,00:00,0.96153,0.96885,0.95982,0.96746,63941
2015.07.30,00:00,0.96744,0.97185,0.96742,0.96827,62246
2015.07.31,00:00,0.96827,0.96840,0.95478,0.96459,77287
2015.08.02,00:00,0.96609,0.96734,0.96506,0.96716,1833
2015.08.03,00:00,0.96716,0.97007,0.96426,0.96917,57514
2015.08.04,00:00,0.96915,0.97893,0.96672,0.97805,60428
2015.08.05,00:00,0.97806,0.98210,0.97580,0.97901,65508
2015.08.06,00:00,0.97903,0.98470,0.97664,0.98105,58260
2015.08.07,00:00,0.98105,0.98833,0.97879,0.98237,48482
